Gender,ExpierenceYears,ExpierenceYearsGermany,SeniorityLevel,Your main technology / programming language,Other technologies/programming languages you use often,Salary,Yearly bonus + stocks in EUR,SalaryYearAgo,Employment status,Сontract duration,Main language at work,CompanySize,LostJobDueToCorona
Female,"(5.0, 9.0]","(-0.001, 2.0]",Senior,Ruby,"Ruby, Java / Scala, AWS, Kubernetes, Docker","(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,python,Google Cloud,"(28799.999, 62000.0]","(5000.0, 15000.0]","(27999.999, 57000.0]",Full-time employee,Temporary contract,English,1000+,No
Female,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,JavaScript,Javascript / Typescript,"(62000.0, 71750.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(12.0, 30.0]","(5.0, 30.0]",Senior,C#,"C/C++, Javascript / Typescript, .NET, SQL, Azure","(80000.0, 115000.0]","(15000.0, 200000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,German,1000+,No
Female,"(5.0, 9.0]","(5.0, 30.0]",Senior,C#,"PHP, Javascript / Typescript, .NET, SQL, Azure, Kubernetes, Docker, React, Angular2+","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,German,51-100,No
Male,"(9.0, 12.0]","(5.0, 30.0]",Senior,SAP BW / ABAP,SAP / ABAP,"(71750.0, 80000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,German,1000+,No
Male,"(12.0, 30.0]","(-0.001, 2.0]",Senior,ABAP,"PHP, SQL, SAP / ABAP, Delphi","(80000.0, 115000.0]","(5000.0, 15000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(9.0, 12.0]","(5.0, 30.0]",Senior,Java,"Kotlin, PHP, Javascript / Typescript, Java / Scala","(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,German,101-1000,No
Male,"(5.0, 9.0]","(3.0, 5.0]",Senior,Qml,C/C++,"(28799.999, 62000.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(9.0, 12.0]","(3.0, 5.0]",Director,PHP,"PHP, Javascript / Typescript, Java / Scala, SQL, AWS, Docker","(80000.0, 115000.0]","(-0.001, 5000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(12.0, 30.0]","(5.0, 30.0]",Senior,AWS,"Javascript / Typescript, Java / Scala, AWS, Docker","(71750.0, 80000.0]","(5000.0, 15000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,German,1000+,No
Male,"(-0.001, 5.0]","(2.0, 3.0]",Middle,C#/.NET,"C/C++, SQL, VBA","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,up to 10,No
Male,"(5.0, 9.0]","(-0.001, 2.0]",Middle,PHP,"Javascript / Typescript, SQL, Go, Docker","(28799.999, 62000.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(9.0, 12.0]","(-0.001, 2.0]",Senior,.Net,Python,"(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(12.0, 30.0]","(3.0, 5.0]",Senior,Javascript,"Javascript / Typescript, .NET, SQL, AWS, Kubernetes, Docker","(71750.0, 80000.0]","(5000.0, 15000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,51-100,No
Male,"(-0.001, 5.0]","(2.0, 3.0]",Middle,JavaScript,AWS,"(28799.999, 62000.0]","(5000.0, 15000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(9.0, 12.0]","(3.0, 5.0]",Senior,.NET,"Python, Javascript / Typescript, Azure","(71750.0, 80000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(3.0, 5.0]",Junior,python,"Python, Java / Scala, AWS","(28799.999, 62000.0]","(5000.0, 15000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,German,1000+,No
Male,"(12.0, 30.0]","(5.0, 30.0]",Senior,Go,"Ruby, AWS, Kubernetes, Docker","(71750.0, 80000.0]","(5000.0, 15000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(5.0, 9.0]","(2.0, 3.0]",Middle,Java,"C/C++, Kubernetes, Docker","(80000.0, 115000.0]","(5000.0, 15000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(12.0, 30.0]","(2.0, 3.0]",Senior,Java,"Kotlin, Java / Scala, SQL, Kubernetes, Docker","(71750.0, 80000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(12.0, 30.0]","(-0.001, 2.0]",Head,Python,"Python, SQL, SAP / ABAP, AWS","(80000.0, 115000.0]","(15000.0, 200000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(-0.001, 5.0]","(2.0, 3.0]",Lead,Python ,"Kubernetes, Docker","(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(9.0, 12.0]","(3.0, 5.0]",Senior,Java,"PHP, Java / Scala","(62000.0, 71750.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(5.0, 9.0]","(5.0, 30.0]",Lead,Java,"Python, Kotlin, Javascript / Typescript, SQL, AWS, Docker","(80000.0, 115000.0]","(-0.001, 5000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,German,51-100,No
Male,"(9.0, 12.0]","(2.0, 3.0]",Senior,Swift,Swift,"(71750.0, 80000.0]","(5000.0, 15000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,1000+,No
